COUNTY,CLINTON,CLINTON,TRUMP,TRUMP,OTHERS%,OTHERS#,TOTAL
HARVEY,33.98%,5068,58.11%,8668,7.91%,1180,14916
HASKELL,18.09%,245,76.81%,1040,5.10%,69,1354
HODGEMAN,12.19%,124,84.07%,855,3.74%,38,1017
JACKSON,25.99%,1512,67.70%,3939,6.31%,367,5818
JEFFERSON,30.20%,2518,62.53%,5213,7.27%,606,8337
JEWELL,12.05%,180,81.86%,1223,6.09%,91,1494
JOHNSON,44.76%,129852,47.40%,137490,7.84%,22748,290090
KEARNY,13.22%,174,81.69%,1075,5.09%,67,1316
KINGMAN,17.97%,599,75.88%,2530,6.15%,205,3334
KIOWA,10.57%,114,83.41%,900,6.02%,65,1079
LABETTE,28.26%,2291,65.81%,5335,5.93%,481,8107
LANE,12.17%,106,82.43%,718,5.40%,47,871
LEAVENWORTH,33.69%,10209,58.21%,17638,8.10%,2454,30301
LINCOLN,14.69%,215,80.53%,1179,4.78%,70,1464
LINN,16.63%,736,78.70%,3484,4.68%,207,4427
LOGAN,10.98%,149,83.42%,1132,5.60%,76,1357
LYON,37.83%,4649,53.32%,6552,8.85%,1087,12288
MARION,21.41%,1204,71.18%,4003,7.41%,417,5624
MARSHALL,22.94%,1072,70.77%,3307,6.29%,294,4673
MCPHERSON,25.32%,3226,67.09%,8549,7.59%,967,12742
MEADE,12.21%,210,82.27%,1415,5.52%,95,1720
MIAMI,26.57%,3991,66.59%,10003,6.84%,1028,15022
MITCHELL,16.21%,477,78.45%,2308,5.34%,157,2942
MONTGOMERY,21.97%,2637,72.30%,8679,5.73%,688,12004
MORRIS,22.90%,601,69.36%,1820,7.74%,203,2624
MORTON,12.33%,147,83.47%,995,4.19%,50,1192
NEMAHA,14.15%,725,80.52%,4124,5.33%,273,5122
NEOSHO,23.77%,1501,70.18%,4431,6.05%,382,6314
NESS,11.14%,162,84.46%,1228,4.40%,64,1454
NORTON,12.58%,281,82.36%,1840,5.06%,113,2234
OSAGE,24.88%,1753,68.49%,4826,6.63%,467,7046
OSBORNE,13.03%,233,81.66%,1460,5.31%,95,1788
OTTAWA,14.61%,424,78.64%,2283,6.75%,196,2903
PAWNEE,21.76%,579,71.55%,1904,6.69%,178,2661
PHILLIPS,11.26%,300,83.82%,2233,4.92%,131,2664
POTTAWATOMIE,20.81%,2225,71.19%,7612,8.01%,856,10693
PRATT,20.07%,771,73.87%,2838,6.06%,233,3842
RAWLINS,11.07%,163,82.88%,1220,6.05%,89,1472
RENO,28.24%,6837,64.08%,15513,7.68%,1860,24210
REPUBLIC,14.83%,375,80.03%,2024,5.14%,130,2529
RICE,18.27%,695,74.58%,2837,7.15%,272,3804
RILEY,43.38%,9341,46.94%,10107,9.68%,2084,21532
ROOKS,11.37%,275,83.96%,2031,4.67%,113,2419
RUSH,15.50%,233,79.64%,1197,4.86%,73,1503
RUSSELL,14.44%,461,80.61%,2574,4.95%,158,3193
SALINE,28.63%,6317,62.67%,13828,8.70%,1919,22064
SCOTT,10.72%,236,84.70%,1865,4.59%,101,2202
SEDGWICK,36.88%,69627,55.28%,104353,7.84%,14803,188783
SEWARD,32.31%,1628,62.70%,3159,4.98%,251,5038
SHAWNEE,44.99%,33926,47.65%,35934,7.35%,5546,75406
SHERIDAN,09.24%,127,87.12%,1197,3.64%,50,1374
SHERMAN,13.28%,347,79.98%,2089,6.74%,176,2612
SMITH,14.54%,297,81.34%,1661,4.11%,84,2042
STAFFORD,16.03%,304,78.59%,1490,5.38%,102,1896
STANTON,18.05%,115,77.24%,492,4.71%,30,637
STEVENS,11.63%,220,84.56%,1599,3.81%,72,1891
SUMNER,21.35%,2076,71.84%,6984,6.81%,662,9722
THOMAS,13.23%,473,81.32%,2908,5.45%,195,3576
TREGO,13.36%,198,82.79%,1227,3.85%,57,1482
WABAUNSEE,22.96%,776,70.18%,2372,6.86%,232,3380
WALLACE,05.76%,46,90.35%,721,3.88%,31,798
WASHINGTON,14.00%,387,79.35%,2194,6.65%,184,2765
WICHITA,14.64%,140,80.44%,769,4.92%,47,956
WILSON,16.54%,594,77.64%,2788,5.82%,209,3591
WOODSON,18.92%,273,74.98%,1082,6.10%,88,1443
WYANDOTTE,61.80%,30146,32.40%,15806,5.80%,2829,48781
