UNNAMED: 0_LEVEL_0,HILLARY,HILLARY,DONALD,DONALD,VARIOUS CANDIDATES OTHER PARTIES,VARIOUS CANDIDATES OTHER PARTIES.1,TOTAL
DEKALB,17.94%,824,77.06%,3540,5.01%,230,4594
DENT,14.40%,978,82.46%,5600,3.14%,213,6791
DOUGLAS,14.76%,984,82.30%,5486,2.94%,196,6666
DUNKLIN,22.31%,2360,75.87%,8026,1.82%,192,10578
FRANKLIN,24.63%,12341,70.70%,35430,4.67%,2342,50113
GASCONADE,20.40%,1520,76.10%,5670,3.50%,261,7451
GENTRY,19.88%,605,75.71%,2304,4.40%,134,3043
GREENE,33.06%,42728,60.38%,78035,6.55%,8468,129231
GRUNDY,17.62%,780,78.18%,3462,4.20%,186,4428
HARRISON,15.56%,574,80.37%,2965,4.07%,150,3689
HENRY,23.89%,2357,71.71%,7075,4.40%,434,9866
HICKORY,21.51%,1016,74.98%,3542,3.51%,166,4724
HOLT,14.73%,347,81.78%,1926,3.48%,82,2355
HOWARD,26.36%,1283,67.32%,3277,6.33%,308,4868
HOWELL,16.51%,2881,79.59%,13893,3.90%,681,17455
IRON,21.86%,933,74.33%,3173,3.82%,163,4269
JACKSON,55.70%,163723,39.0%,114777,6.05%,10481,173275
JASPER,21.88%,10572,72.57%,35070,5.55%,2684,48326
JEFFERSON,29.71%,31568,64.98%,69036,5.30%,5634,106238
JOHNSON,28.06%,5930,64.92%,13719,7.02%,1483,21132
KNOX,20.27%,379,75.72%,1416,4.01%,75,1870
LACLEDE,15.91%,2553,80.25%,12881,3.84%,617,16051
LAFAYETTE,25.53%,4053,69.21%,10988,5.26%,835,15876
LAWRENCE,17.36%,2901,78.31%,13089,4.34%,725,16715
LEWIS,20.96%,934,75.04%,3344,3.99%,178,4456
LINCOLN,22.33%,5575,72.75%,18159,4.92%,1228,24962
LINN,22.19%,1240,73.17%,4088,4.64%,259,5587
LIVINGSTON,19.70%,1265,75.99%,4879,4.31%,277,6421
MACON,20.29%,1548,75.98%,5798,3.73%,285,7631
MADISON,18.89%,1005,77.09%,4102,4.02%,214,5321
MARIES,17.64%,794,79.13%,3561,3.22%,145,4500
MARION,23.14%,2994,72.80%,9419,4.06%,525,12938
MCDONALD,16.12%,1329,80.07%,6599,3.81%,314,8242
MERCER,12.38%,216,85.16%,1486,2.46%,43,1745
MILLER,15.33%,1750,81.33%,9285,3.34%,381,11416
MISSISSIPPI,28.21%,1458,69.65%,3600,2.15%,111,5169
MONITEAU,18.11%,1237,78.29%,5347,3.60%,246,6830
MONROE,20.52%,853,76.01%,3159,3.46%,144,4156
MONTGOMERY,20.61%,1119,76.02%,4127,3.37%,183,5429
MORGAN,20.04%,1768,76.64%,6760,3.32%,293,8821
NEW MADRID,26.27%,1933,71.63%,5270,2.09%,154,7357
NEWTON,18.76%,4990,77.25%,20553,4.00%,1063,26606
NODAWAY,26.74%,2529,67.46%,6380,5.80%,549,9458
OREGON,18.53%,865,78.64%,3671,2.83%,132,4668
OSAGE,14.08%,998,82.60%,5856,3.33%,236,7090
OZARK,16.07%,724,80.78%,3639,3.15%,142,4505
PEMISCOT,32.30%,1947,65.77%,3964,1.92%,116,6027
PERRY,17.39%,1520,79.04%,6908,3.57%,312,8740
PETTIS,23.87%,4324,70.73%,12810,5.39%,977,18111
PHELPS,25.69%,4766,68.50%,12709,5.81%,1078,18553
PIKE,24.46%,1806,71.44%,5274,4.09%,302,7382
PLATTE,40.85%,20057,52.82%,25933,6.33%,3110,49100
POLK,19.12%,2631,75.84%,10438,5.04%,694,13763
PULASKI,21.66%,2922,73.22%,9876,5.12%,690,13488
PUTNAM,15.05%,353,82.52%,1936,2.43%,57,2346
RALLS,21.61%,1138,75.37%,3969,3.02%,159,5266
RANDOLPH,22.15%,2283,73.03%,7529,4.82%,497,10309
RAY,28.43%,3090,65.36%,7104,6.21%,675,10869
REYNOLDS,17.77%,540,79.20%,2406,3.03%,92,3038
RIPLEY,15.03%,830,81.86%,4522,3.11%,172,5524
SALINE,30.07%,2789,64.45%,5977,5.48%,508,9274
SCHUYLER,18.29%,354,77.74%,1505,3.98%,77,1936
SCOTLAND,18.55%,365,77.49%,1525,3.96%,78,1968
SCOTT,20.72%,3575,76.31%,13168,2.97%,513,17256
SHANNON,19.88%,776,75.97%,2966,4.15%,162,3904
SHELBY,18.62%,606,77.54%,2524,3.84%,125,3255
ST. CHARLES,34.14%,68626,60.52%,121650,5.34%,10729,201005
ST. CLAIR,20.22%,936,75.62%,3501,4.17%,193,4630
ST. FRANCOIS,25.27%,6250,70.64%,17468,4.08%,1010,24728
ST. LOUIS,55.69%,286704,39.32%,202434,5.00%,25720,514858
STE. GENEVIEVE,30.02%,2542,64.90%,5496,5.09%,431,8469
STODDARD,14.11%,1876,83.36%,11079,2.53%,336,13291
STONE,17.43%,2887,79.42%,13158,3.15%,522,16567
SULLIVAN,21.16%,526,75.78%,1884,3.06%,76,2486
TANEY,18.60%,4373,77.72%,18276,3.68%,866,23515
TEXAS,15.77%,1728,81.01%,8875,3.22%,353,10956
VERNON,19.85%,1707,75.97%,6533,4.17%,359,8599
WARREN,24.80%,3915,70.39%,11111,4.80%,758,15784
WASHINGTON,20.75%,1926,75.93%,7048,3.32%,308,9282
WAYNE,16.45%,948,80.84%,4658,2.71%,156,5762
WEBSTER,18.98%,3177,76.69%,12840,4.34%,726,16743
WORTH,18.64%,195,77.25%,808,4.11%,43,1046
WRIGHT,14.41%,1170,82.61%,6707,2.98%,242,8119
KANSAS CITY,76.00%,97735,19.17%,24654,4.83%,6212,128601
ST. LOUIS CITY,79.45%,104235,15.88%,20832,4.67%,6124,131191
