County[16],Clinton percentage,Clinton Votes,Trump percentage,Trump Votes,Johnson percentage,Johnson Votes,Write-in percentage,Write-in Votes,Stein percentage,Stein Votes,Totals
Nash,48.75%,23235,48.92%,23318,1.57%,750,0.63%,301,0.13%,60,47664
New Hanover,45.56%,50975,49.46%,55340,3.53%,3949,1.06%,1184,0.40%,449,111897
Northampton,62.39%,6144,36.37%,3582,0.94%,93,0.29%,29,0.00%,0,9848
Onslow,30.65%,17514,64.97%,37122,3.37%,1926,0.84%,481,0.16%,92,57135
Orange,72.78%,59923,22.54%,18557,2.92%,2404,1.21%,997,0.56%,459,82340
Pamlico,35.63%,2448,61.98%,4258,1.80%,124,0.44%,30,0.15%,10,6870
Pasquotank,49.54%,8615,47.04%,8180,2.54%,442,0.70%,122,0.18%,32,17391
Pender,33.54%,9354,63.26%,17639,2.45%,683,0.56%,157,0.19%,52,27885
Perquimans,34.57%,2319,62.27%,4177,2.42%,162,0.64%,43,0.10%,7,6708
Person,39.93%,7832,57.03%,11185,2.14%,419,0.72%,142,0.18%,36,19614
Pitt,51.94%,41824,44.32%,35691,2.68%,2162,0.84%,680,0.21%,170,80527
Polk,34.16%,3735,61.90%,6768,2.49%,272,0.98%,107,0.48%,52,10934
Randolph,20.43%,13194,76.55%,49430,2.17%,1403,0.69%,446,0.16%,102,64575
Richmond,43.98%,8501,53.72%,10383,1.72%,333,0.45%,87,0.12%,24,19328
Robeson,46.54%,19016,50.82%,20762,1.97%,803,0.62%,252,0.06%,25,40858
Rockingham,33.65%,14228,63.46%,26830,2.06%,871,0.70%,294,0.13%,55,42278
Rowan,30.14%,19400,66.51%,42810,2.36%,1517,0.88%,564,0.12%,78,64369
Rutherford,24.80%,7515,72.16%,21869,2.06%,624,0.86%,261,0.13%,39,30308
Sampson,40.68%,10547,57.23%,14838,1.52%,393,0.58%,150,0.00%,0,25928
Scotland,52.55%,7319,44.92%,6256,1.82%,254,0.52%,73,0.19%,26,13928
Stanly,23.71%,7094,73.42%,21964,2.22%,664,0.56%,169,0.09%,26,29917
Stokes,20.69%,4665,75.90%,17116,2.53%,571,0.77%,173,0.11%,25,22550
Surry,23.26%,9005,73.52%,23671,2.30%,739,0.78%,250,0.15%,48,32196
Swain,35.86%,2196,58.24%,3566,3.92%,240,1.50%,92,0.47%,27,6123
Transylvania,36.70%,6558,58.87%,10520,2.74%,489,1.23%,220,0.46%,82,17869
Tyrrell,41.40%,720,56.07%,975,1.61%,28,0.63%,11,0.29%,5,1739
Union,32.48%,34335,63.10%,66705,3.15%,3327,1.11%,1176,0.15%,163,105706
Vance,61.22%,12229,36.70%,7332,1.47%,294,0.49%,97,0.13%,25,19977
Wake,57.38%,302569,37.16%,195984,3.69%,19445,1.44%,7600,0.33%,1739,527337
Warren,65.17%,6419,32.64%,3215,1.49%,147,0.70%,69,0.00%,0,9850
Washington,56.93%,3509,41.60%,2564,1.05%,65,0.41%,25,0.02%,1,6164
Watauga,47.15%,14138,45.68%,13697,4.46%,1336,1.80%,539,0.92%,275,29985
Wayne,42.95%,21769,54.33%,27540,1.90%,963,0.76%,383,0.07%,33,50688
Wilkes,21.21%,6638,75.89%,23752,2.07%,647,0.73%,228,0.10%,31,31296
Wilson,51.56%,19663,45.97%,17531,1.75%,667,0.67%,256,0.05%,18,38135
Yadkin,17.93%,3160,78.76%,13880,2.26%,398,0.86%,152,0.19%,34,17624
Yancey,32.09%,3196,64.11%,6385,2.62%,261,0.77%,77,0.41%,41,9960
Totals,46.17%,2188201,49.84%,2361942,2.75%,130099,1.00%,47438,0.25%,11612,4739292
