County[13],Donald John TrumpRepublican,Donald John TrumpRepublican,Hillary Rodham ClintonDemocratic,Hillary Rodham ClintonDemocratic,Gary Earl JohnsonLibertarian,Gary Earl JohnsonLibertarian,Jill Ellen SteinGreen,Jill Ellen SteinGreen,Darrell Lane CastleConstitution,Darrell Lane CastleConstitution,Margin,Margin,Total votes cast
Potter,6251,80.31%,1302,16.73%,165,2.12%,35,0.45%,31,0.40%,4949,63.58%,7784
Schuylkill,44001,69.99%,16770,26.67%,1414,2.25%,449,0.71%,235,0.37%,27231,43.31%,62869
Snyder,11725,71.66%,4002,24.46%,455,2.78%,111,0.68%,70,0.43%,7723,47.20%,16363
Somerset,27379,76.54%,7376,20.62%,678,1.90%,166,0.46%,174,0.49%,20003,55.92%,35773
Sullivan,2291,73.05%,750,23.92%,65,2.07%,14,0.45%,16,0.51%,1541,49.14%,3136
Susquehanna,12891,68.34%,5123,27.16%,568,3.01%,192,1.02%,89,0.47%,7768,41.18%,18863
Tioga,13614,74.29%,3901,21.29%,548,2.99%,139,0.76%,123,0.67%,9713,53.00%,18325
Union,10622,60.81%,6180,35.38%,450,2.58%,143,0.82%,73,0.42%,4442,25.43%,17468
Venango,16021,68.62%,6309,27.02%,733,3.14%,149,0.64%,136,0.58%,9712,41.60%,23348
Warren,12477,67.68%,5145,27.91%,549,2.98%,130,0.71%,133,0.72%,7332,39.77%,18434
Washington,61386,60.51%,36322,35.80%,2643,2.61%,733,0.72%,366,0.36%,25064,24.71%,101450
Wayne,16244,67.63%,7008,29.18%,466,1.94%,206,0.86%,94,0.39%,9236,38.45%,24018
Westmoreland,116522,64.01%,59669,32.78%,4367,2.40%,936,0.51%,557,0.31%,56853,31.23%,182051
Wyoming,8837,67.23%,3811,28.99%,323,2.46%,116,0.88%,57,0.43%,5026,38.24%,13144
York,128528,62.40%,68524,33.27%,6484,3.15%,1568,0.76%,882,0.43%,60004,29.13%,205986
Totals,2970733,48.58%,2926441,47.85%,146715,2.40%,49941,0.82%,21572,0.35%,44292,0.72%,6115402
